Artist Name,Artist ID,Artist_Popularity,Artist_Followers,Artist Genre
The The,7cKtqv9cYVlOwnuCFH95ce,58.0,192193.0,"art pop,art rock,dance rock,new romantic,new wave,new wave pop,post-punk"
Ghostface Killah,6FD0unjzGQhX3b6eMccMJe,66.0,514804.0,"alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap,southern hip hop"
System of a Down,5eAWCfyUhZtHHtBdNk56l1,81.0,6111758.0,"alternative metal,nu metal,post-grunge,rap metal,rock"
Warren Zevon,3mY9Ii0cL5SQxpOTAm8SHx,60.0,212172.0,"classic rock,country rock,folk,folk rock,heartland rock,mellow gold,piano rock,rock,roots rock,singer-songwriter,soft rock,traditional folk"
Sam and Dave,2BVYdY4PyfCF9z4NrkhEB2,61.0,199807.0,"classic soul,funk,memphis soul,motown,soul,southern soul"
"Bonnie ""Prince"" Billy",2zAvisjImPICTNsRgagqlV,50.0,75880.0,"alternative country,alternative rock,anti-folk,art pop,chamber pop,folk,freak folk,indie folk,indie rock,lo-fi,melancholia,new weird america,roots rock,singer-songwriter,slow core,stomp and holler,traditional folk"
The KLF,6dYrdRlNZSKaVxYg5IrvCH,34.0,34540.0,"acid house,ambient house"
The Waterboys,5TnuP42pw475UrjjeabtwZ,62.0,151582.0,"art rock,celtic rock,dance rock,new wave pop,rock,scottish new wave,scottish rock"
The Cars,6DCIj8jNaNpBz8e5oKFPtp,70.0,906643.0,"album rock,art rock,classic rock,dance rock,folk rock,hard rock,mellow gold,new romantic,new wave,new wave pop,permanent wave,pop rock,power pop,rock,soft rock"
The Shirelles,0x83OBqixqdCHnStP5VMcn,57.0,166276.0,"adult standards,brill building pop,classic girl group,doo-wop,motown,rhythm and blues,rock-and-roll,rockabilly,soul"
Ritchie Valens,5Y9xEAGW4GwGJgbiI6W85P,60.0,309378.0,"adult standards,brill building pop,rock-and-roll,rockabilly"
Los Lobos,6OWapcJm9xd55ci9CYbAuT,62.0,85691.0,roots rock
The Coasters,3QZKZBEmr54lAVI5XvmjnM,55.0,122948.0,"adult standards,brill building pop,doo-wop,motown,rhythm and blues,rock-and-roll,rockabilly,soul"
Arrested Development,5Va9LuEmaZxnbk1gMnjMD7,57.0,134317.0,"atl hip hop,conscious hip hop,hip hop,rap"
Bon Jovi,58lV9VcRSjABbAbfWS6skp,81.0,7884772.0,"glam metal,rock"
Harry Nilsson,3RTzAwFprBqiskp550eSJX,64.0,244041.0,"art rock,brill building pop,classic rock,country rock,folk,folk rock,mellow gold,psychedelic rock,rock,roots rock,singer-songwriter,soft rock,traditional folk"
Iron Maiden,6mdiAmATAx73kdxrNrnlao,77.0,5369196.0,"album rock,hard rock,metal,nwobhm,rock"
Magazine,4VuMnSnoTGrma3a79UhfMs,44.0,50726.0,"alternative rock,art punk,art rock,dance rock,dance-punk,experimental,madchester,new romantic,new wave,post-punk,pub rock,punk,synthpop,uk post-punk"
Brian Wilson,4Q82S0VzF8qlCb4PnSDurj,51.0,94174.0,"baroque pop,brill building pop,sunshine pop"
John Lee Hooker,1yNOfXGQNGjAynk77wv85x,60.0,522158.0,"blues,blues rock,classic rock,delta blues,electric blues,memphis blues,soul,traditional blues"
Cornershop,3Kf7VEIRWquxrNIuyJZnfF,55.0,34178.0,"britpop,chamber psych"
Benny Goodman,1pBuKaLHJlIlqYxQQaflve,57.0,246828.0,"adult standards,bebop,big band,jazz,jazz clarinet,lounge,stride,swing,vintage jazz,vocal jazz"
Afrika Bambaataa & The Soul Sonic Force,4J8cVSLFJ4T4ReYLtehLj0,34.0,7410.0,"bronx hip hop,old school hip hop"
Bobby Bland,48nwxUvPJZkm8uPa7xMzmj,53.0,99785.0,"blues,electric blues,soul,soul blues,southern soul"
Joe Jackson,6KOqPxwfNAmZPkiCnDE9yT,59.0,216026.0,"album rock,art rock,classic rock,dance rock,folk rock,mellow gold,new romantic,new wave,new wave pop,permanent wave,power pop,pub rock,rock,soft rock"
The Soft Machine,2HB6L9NAma3TJ9BD2f8GX9,0.0,30.0,
George Jones,2OpqcUtj10HHvGG6h9VYC5,67.0,621499.0,"country,country rock,honky tonk"
Etta James,0iOVhN3tnSvgDbcg25JoJb,70.0,1009575.0,"adult standards,jazz blues,soul,soul blues,torch song,vocal jazz"
